Họ tên,Chức vị,Chuyên khoa,Bệnh viện,Link Profile
Đào Thị Mai Lan,Tiến sĩ,Nghiên cứu khoa học,Viện nghiên cứu Tế bào gốc và Công nghệ gen Vinmec,/vie/chuyen-gia-y-te/dao-thi-mai-lan-51224-vi
Đàm Thị Minh Phương,Tiến sĩ,Sản xuất tế bào,"Khối Sản xuất Tế bào, Trung tâm Công nghệ Cao Vinmec",/vie/chuyen-gia-y-te/dam-thi-minh-phuong-51225-vi
Nguyễn Văn Hưng,"Tiến sĩ , Bác sĩ",Huyết học - Truyền Máu,Bệnh viện Đa khoa Quốc tế Vinmec Ocean Park 2,/vie/chuyen-gia-y-te/nguyen-van-hung-2
Phùng Tuyết Lan,"Tiến sĩ , Bác sĩ",Nội nhi,Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/phung-tuyet-lan-50910-vi
Tôn Thất Trí Dũng,"Tiến sĩ , Bác sĩ",Nội Thần kinh,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/ton-that-tri-dung-51277-vi
Đào Thị Mai Lan,Tiến sĩ,Nghiên cứu khoa học,Viện nghiên cứu Tế bào gốc và Công nghệ gen Vinmec,/vie/chuyen-gia-y-te/dao-thi-mai-lan-51224-vi
Đàm Thị Minh Phương,Tiến sĩ,Sản xuất tế bào,"Khối Sản xuất Tế bào, Trung tâm Công nghệ Cao Vinmec",/vie/chuyen-gia-y-te/dam-thi-minh-phuong-51225-vi
Nguyễn Văn Hưng,"Tiến sĩ , Bác sĩ",Huyết học - Truyền Máu,Bệnh viện Đa khoa Quốc tế Vinmec Ocean Park 2,/vie/chuyen-gia-y-te/nguyen-van-hung-2
Vũ Thành Lâm,Tiến sĩ Bác sĩ nội trú,Gây mê,Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/vu-thanh-lam
Thân Thị Trang Uyên,Tiến sĩ,Nghiên cứu khoa học,Viện nghiên cứu Tế bào gốc và Công nghệ gen Vinmec,/vie/chuyen-gia-y-te/than-thi-trang-uyen-51222-vi
Hoàng Minh Đức,Tiến sĩ,Nghiên cứu khoa học,Viện nghiên cứu Tế bào gốc và Công nghệ gen Vinmec,/vie/chuyen-gia-y-te/hoang-minh-duc-51219-vi
Võ Văn Đức,Tiến sĩ Bác sĩ chuyên khoa I Thạc sĩ,Sản phụ khoa,Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/vo-van-duc
Lê Thiện Thái,"Tiến sĩ , Bác sĩ",Khoa Sản,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/le-thien-thai-51825-vi
Nguyễn Xuân Hưng,Tiến sĩ,Sản xuất tế bào,N/A,/vie/chuyen-gia-y-te/nguyen-xuan-hung-51176-vi
Dương Thị Hoan,Tiến sĩ Bác sĩ nội trú,Hồi sức ngoại và Ghép tạng,Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/duong-thi-hoan
Nguyễn Thị Mai Loan,"Tiến sĩ , Dược sĩ",Dược,Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/nguyen-thi-mai-loan
Đồng Phạm Cường,"Tiến sĩ , Bác sĩ",Thần kinh,Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/dong-pham-cuong
Lê Nguyễn Trọng Nhân,"Tiến sĩ , Bác sĩ",Khoa Sản,Bệnh viện Đa khoa Vinmec Cần Thơ,/vie/chuyen-gia-y-te/le-nguyen-trong-nhan
Bùi Tiến Hưng,"Tiến sĩ , Bác sĩ",Y học cổ truyền,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/bui-tien-hung
Trần Thị Thu Hiền,Tiến sĩ Bác sĩ nội trú,Tai - Mũi - Họng,Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/tran-thi-thu-hien-1
Bùi Thế Anh,"Thầy thuốc ưu tú, Tiến sĩ , Bác sĩ",Tai - Mũi - Họng,Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/bui-the-anh
Nguyễn Hữu Dũng,"Tiến sĩ , Bác sĩ",Tai - Mũi - Họng,Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-huu-dung
Phan Quỳnh Lan,"Tiến sĩ , Dược sĩ",Dược,Khoa Dược - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/phan-quynh-lan-888-vi
Quách Hữu Trung,"Thầy thuốc ưu tú, Tiến sĩ , Bác sĩ",Nội Tim mạch,Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/quach-huu-trung
Nguyễn Văn Tình,Tiến sĩ,Ngân hàng mô,Ngân hàng mô Vinmec,/vie/chuyen-gia-y-te/nguyen-van-tinh-51420-vi
Nguyễn Lê Hoa,Tiến sĩ,Tai - Mũi - Họng,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/nguyen-le-hoa
Mai Đức Hùng,Tiến sĩ Bác sĩ chuyên khoa II,N/A,Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/mai-duc-hung
Ngô Duy Minh,Tiến sĩ Bác sĩ nội trú,Ngoại nhi,Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/ngo-duy-minh
Lê Duy Cường,"Tiến sĩ , Bác sĩ",Hoá sinh,Bệnh viện Đa khoa Vinmec Phú Quốc,/vie/chuyen-gia-y-te/le-duy-cuong
Đoàn Thị Hồng Hạnh,"Thầy thuốc ưu tú, Tiến sĩ , Bác sĩ",Xét nghiệm,Khoa Xét nghiệm - Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/doan-thi-hong-hanh-1
Nguyễn Đăng Tuân,"Tiến sĩ , Bác sĩ",Hồi sức - Cấp cứu,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/nguyen-dang-tuan-51111-vi
Trần Như Tú,Tiến sĩ,Chẩn đoán hình ảnh,Khoa Chẩn đoán hình ảnh - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/tran-nhu-tu-51090-vi
Nguyễn Thu Hương,"Tiến sĩ , Bác sĩ",Khoa Vú,Bệnh lý Vú - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-thu-huong-51389-vi
Lý Thị Thanh Hà,Tiến sĩ,Di truyền y học,Khoa Di truyền Y học và Bệnh hiếm - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/ly-thi-thanh-ha-51855-vi
Nguyễn Đình Dũng,Tiến sĩ,Di truyền y học,Khoa Di truyền Y học và Bệnh hiếm - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-dinh-dung-51850-vi
Nguyễn Thu Hương,"Tiến sĩ , Bác sĩ",Khoa Vú,Bệnh lý Vú - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-thu-huong-51389-vi
Lý Thị Thanh Hà,Tiến sĩ,Di truyền y học,Khoa Di truyền Y học và Bệnh hiếm - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/ly-thi-thanh-ha-51855-vi
Nguyễn Đình Dũng,Tiến sĩ,Di truyền y học,Khoa Di truyền Y học và Bệnh hiếm - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-dinh-dung-51850-vi
Trần Thị Thanh Huyền,Tiến sĩ,Kiểm soát chất lượng,Phòng QC và Tiêu chuẩn Chất lượng,/vie/chuyen-gia-y-te/tran-thi-thanh-huyen-51842-vi
Hoàng Trần Thanh,"Tiến sĩ , Bác sĩ",N/A,Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/hoang-tran-thanh
Trương Công Duẩn,"Tiến sĩ , Bác sĩ",Huyết học - Truyền Máu,Khoa Xét nghiệm - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/truong-cong-duan-51042-vi
Nguyễn Hồng Thanh,Tiến sĩ,Di truyền y học,Khoa Di truyền Y học và Bệnh hiếm - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-hong-thanh-51851-vi
Trần Hữu Đạt,"Tiến sĩ , Bác sĩ",Phục hồi chức năng,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/tran-huu-dat
Đặng Quang Huy,"Tiến sĩ , Bác sĩ",Phẫu thuật Tim Mạch - Lồng Ngực,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/dang-quang-huy-51808-vi
Cao Thị Anh Đào,"Tiến sĩ , Bác sĩ",Gây mê,Trung tâm Y học tái tạo & Trị liệu tế bào,/vie/chuyen-gia-y-te/cao-thi-anh-dao-51024-vi
Trần Nguyễn Tuấn Minh,Tiến sĩ Bác sĩ nội trú,Can thiệp mạch não,Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/tran-nguyen-tuan-minh
Hồ Thị Thanh Tâm,"Tiến sĩ , Bác sĩ",Hỗ trợ sinh sản,Đơn vị hỗ trợ sinh sản Olea - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/ts-bs-ho-thi-thanh-tam
Phùng Nam Lâm,"Tiến sĩ , Bác sĩ",Hồi sức - Cấp cứu,Hệ thống Y tế Vinmec,/vie/chuyen-gia-y-te/phung-nam-lam-50786-vi
Khổng Nam Hương,"Thầy thuốc ưu tú, Tiến sĩ , Bác sĩ",Tim mạch,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/khong-nam-huong
Hoàng Thanh Vân,Tiến sĩ,Nghiên cứu khoa học,Viện nghiên cứu Tế bào gốc và Công nghệ gen Vinmec,/vie/chuyen-gia-y-te/hoang-thanh-van-51227-vi
